Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2004-10-18,94.16,94.45,93.09,94.25,2572100.0,0.7898074382242094,95.55161487644831,92.39238512355148,94.16,92.93,94.72,94.14,93.7,94.12999999999995,94.34800000000013,93.9719999999999,91.15399999999994,95.94049999999999,94.1190102810356,94.1190102810356,94.1190102810356,94.1190102810356,94.1190102810356,0.7049077612038417,0.8958062364113852,1.4912191486359776,21.340477935832773,1333.3333333333335,-0.6535258775166064,54.73325094303948,-43.251533742331304,56.748466257668696,0.01180619563779057,231489.00000000876,6610296.999999982,2004-10-18,18,0,292,43,0,0,0,0,0,0,1,2004,10,36.14,35.63,35.45,35.75,35.910000000000004,35.55200000000001,34.73180000000001,1114.02,1108.2,1124.39,9956.3203,9933.3799,10081.9697,93.06
2004-10-19,94.25,95.0,92.6,93.06,4144600.0,0.7831582484440102,95.44631649688792,92.31368350311187,94.25,94.16,92.93,94.59,94.16,93.82399999999996,94.24700000000014,93.8799999999999,91.32419999999995,95.92014999999999,93.76600685402374,93.76600685402374,93.76600685402374,93.76600685402374,93.76600685402374,0.5728003163878554,0.8312050524066793,1.5561320665905511,20.088857296622024,1333.3333333333333,-1.073668544700745,48.9344934208059,-79.75460122699391,20.245398773006087,0.012684637462937317,-4932073.999999991,-7626064.000000014,2004-10-19,19,1,293,43,0,0,0,0,0,0,1,2004,10,35.88,36.14,35.63,35.69,35.862,35.5675,34.79340000000001,1103.23,1114.02,1121.84,9897.6201,9956.3203,10077.1797,92.34
2004-10-20,92.11,92.69,90.74,92.34,3934700.0,0.8500704305189923,95.52764086103787,92.1273591389619,93.06,94.25,94.16,94.72,94.25,93.34799999999996,93.92800000000014,93.82749999999989,91.46479999999994,95.89595,93.29067123601584,93.29067123601584,93.29067123601584,93.29067123601584,93.29067123601584,0.4053337961885717,0.7460308011630579,1.6106940618340837,19.890049124008765,1333.3333333333335,-3.3392651523081733,45.77455884844363,-67.47967479674782,32.52032520325219,0.012518084062853777,-2832983.9999999953,-4131434.999999989,2004-10-20,20,2,294,43,0,0,0,0,0,0,1,2004,10,36.05,35.88,36.14,35.61,35.80200000000001,35.622499999999995,34.85020000000001,1103.66,1103.23,1113.65,9886.9297,9897.6201,10002.3301,93.47
2004-10-21,92.0,93.85,91.98,93.47,4023000.0,0.835897721016533,95.51929544203296,92.17570455796681,92.34,93.06,94.25,92.93,92.11,93.45599999999996,93.79000000000013,93.84749999999988,91.64119999999996,95.8803,93.35044749067723,93.35044749067723,93.35044749067723,93.35044749067723,93.35044749067723,0.3596510946513689,0.66875485986072,1.6292159145602199,18.698085886894862,1333.3333333333333,-1.454928835002631,51.110479934183886,-44.51219512195116,55.48780487804884,0.011594927941777586,4545989.999999981,1609200.0000000228,2004-10-21,21,3,295,43,0,0,0,0,0,0,1,2004,10,36.6,36.05,35.88,35.45,35.83800000000001,35.7065,34.92380000000001,1106.49,1103.66,1103.29,9865.7598,9886.9297,9894.4502,92.7
2004-10-22,93.02,93.74,92.01,92.7,3515900.0,0.8713889396883405,95.55127787937657,92.06572212062322,93.47,92.34,93.06,94.16,92.0,93.16399999999996,93.63600000000012,93.8084999999999,91.81799999999996,95.85065,93.1336316604515,93.1336316604515,93.1336316604515,93.1336316604515,93.1336316604515,0.25833671487549736,0.5866712308636755,1.6364147778059177,17.591262881003384,1333.3333333333335,-1.6341256366723174,47.668304697470354,-60.16260162601611,39.83739837398389,0.00987835422367934,-2707242.999999986,-2742402.000000004,2004-10-22,22,4,296,43,0,0,0,0,0,0,1,2004,10,35.8,36.6,36.05,35.63,35.86000000000001,35.7565,34.9904,1095.74,1106.49,1108.2,9757.8096,9865.7598,9933.3799,92.42
2004-10-25,91.75,92.71,91.11,92.42,3019600.0,0.8952835481452763,95.58256709629045,92.00143290370933,92.7,93.47,92.34,94.25,93.02,92.79799999999996,93.46400000000014,93.79199999999989,91.98139999999995,95.819,92.895754440301,92.895754440301,92.895754440301,92.895754440301,92.895754440301,0.15367916132031212,0.5000728169550028,1.6338137222483518,17.238448969797737,1333.3333333333333,-1.8270660718079443,46.4434090351469,-65.85365853658524,34.14634146341476,0.009628977179335333,-845488.0000000034,-996467.9999999949,2004-10-25,25,0,299,44,0,0,0,0,0,0,1,2004,10,35.63,35.8,36.6,36.14,35.848000000000006,35.813,35.052600000000005,1094.8,1095.74,1114.02,9749.9902,9757.8096,9956.3203,93.76
2004-10-26,92.8,94.78,92.8,93.76,3445400.0,0.8786898141405316,95.58437962828096,92.06962037171884,92.42,92.7,93.47,93.06,91.75,92.93799999999996,93.38100000000014,93.8269999999999,92.14019999999996,95.8003,93.18383629353401,93.18383629353401,93.18383629353401,93.18383629353401,93.18383629353401,0.1768257599728713,0.4354234055585765,1.6856841706591836,16.670208868762778,1333.3333333333337,-0.877471191457869,52.706672896883966,-36.55462184873935,63.445378151260655,0.011009517592386872,4616836.000000012,2411780.00000001,2004-10-26,26,1,300,44,0,0,0,0,0,0,1,2004,10,35.82,35.63,35.8,35.88,35.861000000000004,35.8755,35.111200000000004,1111.09,1094.8,1103.23,9888.4805,9749.9902,9897.6201,96.1
2004-10-27,93.28,96.3,93.0,96.1,4620900.0,1.0036648633360319,95.97532972667196,91.96067027332782,93.76,92.42,92.7,92.34,92.8,93.68999999999994,93.51900000000015,93.96799999999989,92.33439999999997,95.79189999999998,94.15589086235602,94.15589086235602,94.15589086235602,94.15589086235602,94.15589086235602,0.3796121177778957,0.42426114800244036,1.8009924441835274,17.007165452344587,1333.3333333333335,1.4569256756756708,61.2327381676955,-3.597122302158323,96.40287769784169,0.01353539909272474,10812905.99999995,13030937.999999968,2004-10-27,27,2,301,44,0,0,0,0,0,0,1,2004,10,36.73,35.82,35.63,36.05,35.973000000000006,35.958,35.180600000000005,1125.4,1111.09,1103.66,10002.0303,9888.4805,9886.9297,97.43
2004-10-28,96.1,98.14,95.8,97.43,5321900.0,1.2506245808018512,96.6787491616036,91.67625083839619,96.1,93.76,92.42,93.47,93.28,94.48199999999993,93.96900000000014,94.1774999999999,92.53419999999998,95.7907,95.24726057490402,95.24726057490402,95.24726057490402,95.24726057490402,95.24726057490402,0.6402611204139816,0.4674611424847487,1.8394929838847045,18.152071022459626,1333.3333333333335,4.842354460346497,65.0855232997843,-9.594594594594504,90.40540540540549,0.013676465633919941,7078127.000000066,22298761.000000063,2004-10-28,28,3,302,44,0,0,0,0,0,0,1,2004,10,36.96,36.73,35.82,36.6,36.12400000000001,36.049,35.24280000000001,1127.4399,1125.4,1106.49,10004.54,10002.0303,9865.7598,98.38
2004-10-29,97.43,98.45,97.43,98.38,3862600.0,1.5613303200865378,97.52316064017297,91.27783935982681,97.43,96.1,93.76,92.7,96.1,95.61799999999992,94.39100000000016,94.4004999999999,92.76979999999998,95.78569999999999,96.29150704993602,96.29150704993602,96.29150704993602,96.29150704993602,96.29150704993602,0.9129603547252856,0.5565609849328561,1.7809577707500825,19.34042254802295,1333.3333333333333,4.481733220050977,67.56510703331782,-0.9079118028535319,99.09208819714647,0.010101948227674906,3669469.999999956,17227195.999999978,2004-10-29,29,4,303,44,0,0,0,0,0,0,1,2004,10,36.9,36.96,36.73,35.8,36.251000000000005,36.089,35.30740000000001,1130.2,1127.4399,1095.74,10027.4697,10004.54,9757.8096,98.32
